id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
69737,141046,Beatmania IIDX Club Version,NULL,1999-04-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63374,80673,beatmania IIDX substream,NULL,1999-07-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126709,8458,Beavis and Butt-Head Do U.,NULL,1999-03-07 00:00:00.000,NULL,NULL,54.0000,1,NULL,NULL
107780,2715,Beetle Adventure Racing!,NULL,1999-03-24 00:00:00.000,2,NULL,NULL,NULL,72.3160,15
143575,178830,Bert the Barbarian,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70942,78521,BHunter,"BHunter is set in 2098 where law and order are rapidly crumbling and the city has turned to enlisting the help of BHunters to help curb crime. As a BHunter, it is your job to deal justice swiftly to designated criminal targets.",1999-10-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66976,22826,Big Air,NULL,1999-03-28 00:00:00.000,NULL,NULL,56.0000,1,NULL,NULL
91217,43921,Big Ol' Bass 2,NULL,1999-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48969,138956,Billiards,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76747,49913,Billy Bob's Huntin'-n-Fishin',"In Billy Bob's Huntin'-n-Fishin' you play the role of a hapless guy named Billy Bob, who is trying to impress a girl. She'll ask Billy Bob to fetch her rabbits or bass, and it's up to you to help Billy Bob get them. Obviously, to get the things she wants you'll have to either go hunting or fishing. Not so fast though, because you need bullets for hunting, bait for fishing, and a license to do either of the two activities. Luckily, you can earn these items by playing a variety of mini-games. The games vary in their gameplay, but the usual assortment of speed and reflex tests are the common thread. You'll need to clear four mini-games each to go hunting and fishing. Once you've finally cleared them and gotten the items you need, you'll head out to catch your real prize.",1999-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144755,206140,Bingo Master,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161941,43991,Biomotor Unitron,NULL,1999-04-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56172,94327,Biosys,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89743,46952,Bird Hunter: Upland Edition,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125496,44840,Bishi Bashi Special 2,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
